,,,FIRST START BACK,,,,,,
YEAR,DIVISION,HORSE,CLS,ODDS,FAV,FIN,NOTE,,RACING CLASS KEY:
2011,Male Sprinter,Amazombie,GRD,2.10,N,3,,,
2012,Male Sprinter,Trinniberg,GRD,,,11,Returned in Dubai,,
2013,Male Sprinter,Points Offthebench,DEC,,,,,,
2014,Male Sprinter,Work All Week,GRD,0.60,Y,2,,,
2015,Male Sprinter,Runhappy,GRD,0.30,Y,4,,,
2016,Male Sprinter,Drefong,GRD,1.80,N,DNF,,,
2017,Male Sprinter,Roy H,GRD,0.20,Y,1,,,
1971,Older Female,Shuvee,RET,,,,,,
1972,Older Female,Typecast,RET,,,,,,
1973,Older Female,Susan's Girl,GRD,2.30,Y,2,,,
1974,Older Female,Desert Vixen,ALW,0.80,Y,6,,,
1975,Older Female,Susan's Girl,RET,,,,,,
1976,"Older Female
",Proud Delta,GRD,1.30,Y,2,,,
1977,Older Female,Cascapedia,RET,,,,,,
1978,Older Female,Late Bloomer,ALW,0.40,Y,1,,,
1979,Older Female,Waya,RET,,,,,,
1980,Older Female,Glorious Song,GRD,4.50,N,4,,,
1981,Older Female,Relaxing,RET,,,,,,
1982,Older Female,Track Robbery,STK,6.00,N,11,,,
1983,"Older Female
",Ambassador of Luck,STK,0.80,Y,3,,,
1984,Older Female,Princess of Rooney,RET,,,,,,
1985,Older Female,Life's Magic,RET,,,,,,
1986,Older Female,Lady's Secret,GRD,0.80,Y,6,,,
1987,Older Female,North Sider,RET,,,,,,
1988,Older Female,Personal Ensign,RET,,,,,,
1989,Older Female,Bayakoa,GRD,0.30,Y,1,,,
1990,Older Female,Bayakoa,GRD,0.20,Y,4,,,
1991,Older Female,Queena,RET,,,,,,
1992,Older Female,Paseana,GRD,0.70,Y,2,,,
1993,Older Female,Paseana,GRD,0.70,Y,2,,,
1994,Older Female,Sky Beauty,GRD,0.35,Y,1,,,
1995,Older Female,Inside Information,RET,,,,,,
1996,Older Female,Jewel Princess,GRD,1.00,Y,1,,,
1997,Older Female,Hidden Lake,RET,,,,,,
1998,Older Female,Escena,RET,,,,,,
1999,Older Female,Beautiful Pleasure,GRD,0.80,Y,5,,,
2000,Older Female,Riboletta,RET,,,,,,
2001,Older Female,Gourmet Girl,RET,,,,,,
2002,Older Female,Azeri,GRD,0.40,Y,1,,,
2003,Older Female,Azeri,GRD,2.00,N,1,,,
2004,Older Female,Azeri,RET,,,,,,
2005,Older Female,Ashado,RET,,,,,,
2006,Older Female,Fleet Indian,RET,,,,,,
2007,Older Female,Ginger Punch,STK,0.30,Y,1,,,
2008,Older Female,Zenyatta,GRD,0.20,Y,1,,,
2009,Older Female,Zenyatta,GRD,0.30,Y,1,,,
2010,Older Female,Zenyatta,RET,,,,,,
2011,Older Female,Havre de Grace,STK,0.05,Y,1,,,
2012,Older Female,Royal Delta,GRD,0.40,Y,1,,,
2013,Older Female,Royal Delta,RET,,,,,,
2014,Older Female,Close Hatches,RET,,,,,,
2015,Older Female,Beholder,GRD,0.05,Y,1,,,
2016,Older Female,Beholder,RET,,,,,,
2017,Older Female,Forever Unbridled,GRD,,,5,Returned in Dubai World Cup,,
1971,Older Male,Ack Ack,RET,,,,,,
1972,Older Male,Autobiography,GRD,1.50,Y,3,,,
1973,Older Male,Riva Ridge,RET,,,,,,
1974,Older Male,Forego,GRD,0.80,Y,1,,,
1975,Older Male,Forego,ALW,0.30,Y,1,,,
1976,Older Male,Forego,ALW,0.05,Y,1,,,
1977,Older Male,Forego,ALW,0.30,Y,1,,,
1978,Older Male,Seattle Slew,RET,,,,,,
1979,Older Male,Affirmed,RET,,,,,,
1980,Older Male,Spectacular Bid,RET,,,,,,
1981,Older Male,John Henry,GRD,1.30,Y,1,,,
1982,Older Male,Lemhi Gold,GRD,2.20,N,7,,,
1983,Older Male,Bates Motel,RET,,,,,,
1984,Older Male,Slew o' Gold,RET,,,,,,
1985,Older Male,Vanlandingham,STK,1.00,Y,1,,,
1986,Older Male,Turkoman,RET,,,,,,
1987,Older Male,Ferdinand,GRD,0.70,Y,2,,,
1988,Older Male,Alysheba,RET,,,,,,
1989,Older Male,Blushing John,RET,,,,,,
1990,Older Male,Criminal Type,RET,,,,,,
1991,Older Male,Black Tie Affair,RET,,,,,,
1992,Older Male,Pleasant Tap,RET,,,,,,
1993,Older Male,Bertrando,STK,1.50,Y,1,,,
1994,Older Male,The Wicked North,RET,,,,,,
1995,Older Male,Cigar,GRD,0.20,Y,1,,,
1996,Older Male,Cigar,RET,,,,,,
1997,Older Male,Skip Away,GRD,0.40,Y,1,,,
1998,Older Male,Skip Away,RET,,,,,,
1999,Older Male,Victory Gallop,RET,,,,,,
2000,Older Male,Lemon Drop Kid,RET,,,,,,
2001,Older Male,Tiznow,RET,,,,,,
2002,Older Male,Left Bank,RET,,,,,,
2003,Older Male,Mineshaft,RET,,,,,,
