HORSE,SIRE,DAM,DAMSIRE,LOC,TRAINER,OWNER,BREEDER
Eternal Bird,Tiznow,Bird Legacy,Mineshaft,KY,Nicholas Zito,Marylou Whitney Stables LLC,Marylou Whitney Stables LLC
Exaggerator,Curlin,Dawn Raid,Vindication,KY,Keith Desormeaux,"Big Chief Racing, LLC, Rocker O Ranch, LLC and Desormeaux, J. Keith",Joseph B. Murphy
Fashionable Freddy,Tiznow,High Button Shoes,Carson City,KY,Nicholas Zito,My Meadowview Farm LLC,My Meadowview LLC
Fellowship,Awesome of Course,Go Girlfriend Go,Demidoff,FL,Stanley Gold,"Jacks or Better Farm, Inc.",Jacks or Better Farm Inc.
Fetisov,Smart Strike,Molto Vita,Carson City,KY,Todd Pletcher,John D. Gunther,John D. Gunther
Fish Trappe Road,Trappe Shot,Electric Shock,Cure the Blues,NY,W. Bret Calhoun,Martin Racing Stable LLC,Rhapsody Faarm LLC & Jon Davis
Flexibility,Bluegrass Cat,Santa Vindi,Vindication,NY,Chad Brown,"Klaravich Stables, Inc. and Lawrence, William H.",Winstar Farm LLC
Flora Dora (f),First Dude,Aidan,Dixieland Band,FL,Marialice Coffey,Coffeepot Stables,Dizney Double Diamond LLC
Flying Bullet,Smart Strike,Perfect Sting,Red Ransom,KY,Dermot Weld,Stronach Stables,Adena Springs
Forevamo,Uncle Mo,Candlelightdinner,Slew Gin Fizz,FL,"Albert Stall, Jr.",Brittlyn Stables,Ocala Stud
Forever Bernardini,Bernardini,Cry and Catch Me,Street Cry (IRE),KY,"Edward Plesa, Jr.",Live Oak Plantation,Live Oak Stud
Forever d'Oro,Medaglia d'Oro,Lemons Forever,Lemon Drop Kid,KY,Dallas Stewart,Charles E. Fipke,Charles Fipke
Fort Smith,Scat Daddy,Kit's Girl,Carson City,KY,William Van Meter,"Shortleaf Stable, Inc.",Reiley McDonald
Found Money,Square Eddie,Chanel My Belle,General Meeting,CA,Doug O'Neill,Reddam Racing LLC,Reddam Racing LLC
Foxtrot Charlie,English Channel,Flashy Four,Storm Cat,KY,Dermot Weld,Calumet Farm,Calumet Farm
Frank Conversation,Quality Road,Rushen Heat,Unusual Heat,KY,Doug O'Neill,Reddam Racing LLC,Marc Keller
Freemark,Smart Strike,Carolyn's Cat,Forestry,KY,Bob Baffert,"Stonestreet Stables LLC, Magnier, Susan., Tabor, Michael B. and Smith, Derrick",Mr. & Mrs. W. K. Warren Jr.
French Getaway,Giant's Causeway,Modesty Blaise,A.P. Indy,KY,"Robert Hess, Jr.",Schroeder Farms LLC,Flaxman Holdings Limited
Galileo's Spear (FR),Galileo (IRE),Lady Shakespeare,Theatrical (IRE),FR,Alain de Royer Dupre,Charles E. Fipke,Charles Fipke
Ganges,Gio Ponti,Shy Baby,Out of Place,LA,Pavel Matejka,Preston Stables LLC and Prestonwood Racing LLC,Neal McFadden
General Macarthur,War Front,Imagine (IRE),Sadler's Wells,KY,Aidan O'Brien,"Nagle, Mrs. David and Magnier, Mrs. John",Barronstown Stud
Get Jets,Scat Daddy,Sunny,Dixieland Band,NY,Anthony Dutrow,Team D,Pat Pavlish
Gettysburg,Pioneerof the Nile,L.A. Devine,Pulpit,KY,Todd Pletcher,WinStar Farm LLC,Whisper Hill Farm
Giant Trick,Neko Bay,Subterfuge,Favorite Trick,TX,Jack Van Berg,Jerry Caroom,Eureka Thoroughbred Farm
Gift Box,Twirling Candy,Special Me,Unbridled's Song,KY,Chad Brown,W. S. Farish,"Machmer Hall, Carrie Brogden & Craig Brogden"
Gimlet,Lemon Drop Kid,Aurelia,Danzig,KY,Todd Pletcher,Eclipse Thoroughbred Partners,"Alexander, Groves & Matz"
Giopress,Gio Ponti,Empiress,Empire Maker,KY,Reina Gonzalez,"Bresciani, Al, Waterson, Cindy and Waterson, Tom",J.D. Squires & P. Frank Gardner
Glenn Coco,Ghostzapper,Northglen,St. Jovite,ON,Reade Baker,"Zayat Stables, LLC",Devonleigh Farms
Goats Town,Dublin,A.P. Petal,A.P. Indy,KY,D. Wayne Lukas,Calumet Farm,Calumet Farm
Good for It,Neko Bay,Our Good Fortune,Tale of the Cat,KY,"Clifford Sise, Jr.",Maria Shontere,Carpe Diem Stables
Governor Malibu,Malibu Moon,Akilina,Langfuhr,NY,Christophe Clement,Jump Sucker Stable and Oak Bluff Stables,Richard Leahy Oak Bluff Stables
Grand Max,War Front,Magnificent Honour,A.P. Indy,KY,Gustavo Delgado,Grupo 7C Racing Stable,Barronstown Stud
Grand Nenuco,Lookin At Lucky,Highshift,St. Jovite,KY,Gustavo Delgado,Grupo 7C Racing Stable,Kim Nardelli & Rodney Nardelli
Gray Sky,Tapit,Trickski,Peteski,KY,D. Wayne Lukas,"Baker, Robert C. and Mack, William L.",Mike Abraham
