Horse,Color / Sex / Age,Trainer,Owner
IMPACT PLAYER,b.c.3,Todd A. Pletcher,NK Racing To
INSTILLED REGARD,dk b/.c.3,Jerry Hollendorfer,OXO Equine LLC 
IRISH SPRING,b.c.3,Richard Baltas,Irish Spring Stables Inc.
IRISH TERRITORY (IRE),b.c.3,William I. Mott,"Zayat Stables, LLC"
IRONWOOD,ch.c.3,Thomas Morley,"Margaret Fauber, Erin Fauber, Judy Jared and Imagine Racing "
JIMMY CHILA,b.c.3,Doug O'Neill,"Reddam Racing, LLC"
JOHN TIPPMANN,ch.c.3,Kenneth G. McPeek,"Al Baldassari, Dan Lion, Frances Demayo and John Tippmann "
JUNGLE WARFARE,b.r.3,Jerry Hollendorfer,"Hollendorfer, LLC and West Point Thoroughbreds "
JUST BE FRANK,b.g.3,William R. Helmbrecht,Patience and Jon Jazdzewski 
JUST WHISTLE,b.c.3,Michael R. Matz,Helen K. Groves M
JUSTIFY,ch.c.3,Bob Baffert,"WinStar Farm, LLC"
KANTHAKA,ch.c.3,Jerry Hollendorfer,"West Point Thoroughbreds, LLC "
KEY TO THE NILE,b.c.3,Bob Baffert,"Zayat Stables, LLC"
KING ZACHARY,ch.c.3,Dale L. Romans,Thomas F. Conway D
KRIS' ROCKET KAT,ch.c.3,Richard Baltas,J K Racing LLC and Bruce Chandler
LAST BAD HABIT,dk b/.c.3,"Albert M. Stall, Jr.","Spendthrift Farm, LLC Alb"
LEINSTER,b.c.3,D. Wayne Lukas,Amy E. Dunne D.
LIFE'S A PARLAY,b.c.3,Todd A. Pletcher,Repole Stable and St. Elias Stable To
LIGHTHAWK,gr/ro.c.3,Ron Moquett,JoAnn and Alex Lieblong
LIMATION,dk b/.c.3,Steven M. Asmussen,Michael Langford 
LIONITE,b.c.3,Steven M. Asmussen,"Winchell Thoroughbreds, LLC and Willis Horton Racing, LLC "
LOCOMOTION,dk b/.c.3,William I. Mott,"WinStar Farm, LLC , China Horse Club International, Ltd. and SF Racing, LLC"
LOMBO,gr/ro.c.3,Michael Pender,Michael V. Lombardi
LONE SAILOR,b.c.3,Thomas M. Amoss,G M B Racing Tho
LONGDEN (GB),dk b/.r.3,Bob Baffert,Godolphin Stable
M G WARRIOR,b.c.3,Dallas Stewart,Stephanie S. Clark
MACHISMO,b.c.3,Anthony T. Quartarolo,"Loooch Racing Stables, Inc. and Ashley Quartarolo "
MAGIC MUSKETIER,dk b/.c.3,Jerry Hollendorfer,Steven Simonovic Jerr
MAGICALMEISTER,b.c.3,James K. Chapman,"Christopher J. Meyer, Stanley Uragami and James K. Chapman "
MAGNUM MOON,b.c.3,Todd A. Pletcher,Robert and Lawana Low To
MAKE THE SWITCH (IRE),b.c.3,Dermot K. Weld,Moyglare Stud Farm D
MARAUD,b.c.3,Todd A. Pletcher,Treadway Racing Stable 
MARCONI,gr/ro.c.3,Todd A. Pletcher,"Bridlewood Farm, Mrs. John Magnier, Derrick Smith and Michael B. Tabor T"
MASK,b.c.3,Chad C. Brown,Lane's End Racing
MASKED,ch.c.3,Bob Baffert,Abdullah Saeed Almaddah
MASTER MANIPULATOR,ch.c.3,Eric J. Guillot,Calumet Farm and Southern Equine Stable LLC
MAYNOOTH,ch.c.3,Cathal A. Lynch,Daniela Lynch and Lynch Racing LLC C
MAYRHOFEN,ch.c.3,Michelle Nihei,Roseland Farm Stable
MCKINZIE,b.c.3,Bob Baffert,"Mike Pegram, Karl Watson and Paul Weitman"
MENDELSSOHN,b.c.3,Aidan P. O'Brien,"Mr. Michael Tabor, Mr. Derrick Smith and Mrs. John Magnier "
MERCERTOWN,ch.c.3,Neil J. Howard,Stoneway Farm
MIDNITE MASQUERADE,dk b/.c.3,Bob Baffert,James Bashor
MIND TRAPPE,b.c.3,"Ignacio Correas, IV","I. C. Racing, LLC "
MINTZ,dk b/.c.3,James A. Jerkens,Centennial Farms 
MISS MO MENTUM,dk b/.f.3,Mark E. Casse,Gary Barber
MISSISSIPPI,dk b/.c.3,Mark E. Casse,"Derrick Smith, John C. Oxley, Markus J. Jooste, Michael Tabor and Mrs. John Magnier"
